"Ta","Humidity","maxTime","Pdgrowth"
-4,69,480,0.0715819281473708
-3,69,504,0.0751609392161136
-2,69,576,0.085897972422342
-1,69,648,0.0966350056285704
0,69,720,0.107372038834799
1,69,840,0.125267094178513
2,69,984,0.14674116059097
3,69,1200,0.178952260209655
4,69,1512,0.225479404103312
5,69,2088,0.311375669753139
6,69,3312,0.493905234259022
7,69,3000,0.517538963541187
8,69,2712,0.528769514728275
9,69,2400,0.518758094371022
10,69,2136,0.503126740902176
11,69,1872,0.472667625042095
12,69,1656,0.440622828163801
13,69,1440,0.396079882940708
14,69,1272,0.353299187501072
15,69,1104,0.300173959814945
16,69,960,0.244263366930101
17,69,840,0.185879800343071
18,69,744,0.124203239590964
19,69,648,0.0544756033025318
20,69,576,0
21,69,504,0
22,69,432,0
-10,70,312,0.0487377563381195
-9,70,336,0.0524866769949248
-8,70,336,0.0524866769949248
-7,70,384,0.0599845183085355
-6,70,408,0.0637334389653409
-5,70,432,0.0674823596221461
-4,70,480,0.0749802009357568
-3,70,504,0.0787291215925622
-2,70,576,0.0899758835629782
-1,70,648,0.101222645533394
0,70,720,0.11246940750381
1,70,840,0.131214010787837
2,70,984,0.153707534728669
3,70,1200,0.187447820639917
4,70,1512,0.236183789178387
5,70,2088,0.326157884941714
6,70,3312,0.517352838438786
7,70,3000,0.542108552853043
8,70,2712,0.553872262024068
9,70,2400,0.543385560569287
10,70,2136,0.527012125900428
11,70,1872,0.495106997237054
12,70,1656,0.461540909104678
13,70,1440,0.414883336871895
14,70,1272,0.370071675279999
15,70,1104,0.31442438622594
16,70,960,0.255859499844113
17,70,840,0.194704238071488
18,70,744,0.130099650881568
19,70,648,0.0570617722578131
20,70,576,0
21,70,504,0
22,70,432,0
-10,71,312,0.0510951110441606
-9,71,336,0.0550253600266193
-8,71,336,0.0550253600266193
-7,71,384,0.0628858579915368
-6,71,408,0.0668161069739956
-5,71,432,0.0707463559564542
-4,71,480,0.0786068539213717
-3,71,504,0.0825371029038305
-2,71,576,0.0943278498512067
-1,71,648,0.106118596798583
0,71,720,0.117909343745959
1,71,840,0.137560588658253
2,71,984,0.161142082553005
3,71,1200,0.196514323395134
4,71,1512,0.247607560167098
5,71,2088,0.341933535746108
6,71,3312,0.542376233851504
7,71,3000,0.568329336169113
8,71,2712,0.580662034092563
9,71,2400,0.569668110375564
10,71,2136,0.552502723098075
11,71,1872,0.519054402649679
12,71,1656,0.483864785209279
13,71,1440,0.434950472910081
14,71,1272,0.387971354519264
15,71,1104,0.329632509501488
16,71,960,0.268234948394892
17,71,840,0.204121720253469
18,71,744,0.136392329234102
19,71,648,0.0598217441455996
20,71,576,0
21,71,504,0
22,71,432,0
-10,72,312,0.0536163998479577
-9,72,336,0.0577405870087099
-8,72,336,0.0577405870087099
-7,72,384,0.0659889613302144
-6,72,408,0.0701131484909666
-5,72,432,0.0742373356517188
-4,72,480,0.0824857099732233
-3,72,504,0.0866098971339755
-2,72,576,0.0989824586162322
-1,72,648,0.111355020098489
0,72,720,0.123727581580746
1,72,840,0.144348517384507
2,72,984,0.16909364034902
3,72,1200,0.20621132479579
4,72,1512,0.25982575788557
5,72,2088,0.358806249743624
6,72,3312,0.569139794941988
7,72,3000,0.596373553372479
8,72,2712,0.609314808407552
9,72,2400,0.597778389406543
10,72,2136,0.5797659759093
11,72,1872,0.544667147728775
12,72,1656,0.507741098237457
13,72,1440,0.456413108671977
14,72,1272,0.407115805179093
15,72,1104,0.345898229226715
16,72,960,0.281471004807229
17,72,840,0.214194108733887
18,72,744,0.143122610186511
19,72,648,0.0627736487536072
20,72,576,0
21,72,504,0
22,72,432,0
-10,73,312,0.0563193391076372
-9,73,336,0.0606514370461118
-8,73,336,0.0606514370461118
-7,73,384,0.0693156329230611
-6,73,408,0.0736477308615357
-5,73,432,0.0779798288000103
-4,73,480,0.0866440246769595
-3,73,504,0.0909761226154342
-2,73,576,0.103972416430858
-1,73,648,0.116968710246282
0,73,720,0.129965004061706
1,73,840,0.151625493754079
2,73,984,0.177618081384926
3,73,1200,0.216606962831198
4,73,1512,0.272924236031368
5,73,2088,0.376894586554759
6,73,3312,0.597831581416965
7,73,3000,0.626438262965367
8,73,2712,0.640031919623881
9,73,2400,0.627913920361563
10,73,2136,0.608993455228231
11,73,1872,0.572125205733949
12,73,1656,0.533337620049263
13,73,1440,0.479422055814272
14,73,1272,0.427639549708288
15,73,1104,0.363335839851109
16,73,960,0.295660674973677
17,73,840,0.224992179237141
18,73,744,0.150337785452249
19,73,648,0.065938228251123
20,73,576,0
21,73,504,0
22,73,432,0
-10,74,312,0.0592242933876694
-9,74,336,0.063779841150792
-8,74,336,0.063779841150792
-7,74,384,0.0728909366770372
-6,74,408,0.0774464844401598
-5,74,432,0.0820020322032823
-4,74,480,0.0911131277295275
-3,74,504,0.0956686754926501
-2,74,576,0.109335318782018
-1,74,648,0.123001962071386
0,74,720,0.136668605360753
1,74,840,0.159446344176366
2,74,984,0.186779630755102
3,74,1200,0.227779560623205
4,74,1512,0.287001681543798
5,74,2088,0.39633482785874
6,74,3312,0.628667763777992
7,74,3000,0.658749979367071
8,74,2712,0.673044797504341
9,74,2400,0.660301751244307
10,74,2136,0.640405367589202
11,74,1872,0.601635451973428
12,74,1656,0.560847200712191
13,74,1440,0.504150669023276
14,74,1272,0.449697218706531
15,74,1104,0.38207672033352
16,74,960,0.310910867124557
17,74,840,0.236597286903613
18,74,744,0.15809221581702
19,74,648,0.0693393253060753
20,74,576,0
21,74,504,0
22,74,432,0
-10,75,312,0.0623547894783648
-9,75,336,0.0671511357997763
-8,75,336,0.0671511357997763
-7,75,384,0.0767438284425993
-6,75,408,0.0815401747640108
-5,75,432,0.0863365210854223
-4,75,480,0.0959292137282454
-3,75,504,0.100725560049657
-2,75,576,0.115114599013891
-1,75,648,0.129503637978126
0,75,720,0.14389267694236
1,75,840,0.167874408549418
2,75,984,0.196652486477887
3,75,1200,0.239819603370591
4,75,1512,0.30217210554894
5,75,2088,0.417284417262817
6,75,3312,0.661898079654802
7,75,3000,0.693570390336861
8,75,2712,0.708620808410176
9,75,2400,0.695204186253858
10,75,2136,0.674256113373122
11,75,1872,0.63343688551858
12,75,1656,0.590492636206276
13,75,1440,0.530799221639481
14,75,1272,0.473467453936565
15,75,1104,0.402272650262484
16,75,960,0.327345090285601
17,75,840,0.249103419764881
18,75,744,0.166448703252759
19,75,648,0.0730044848949158
20,75,576,0
21,75,504,0
22,75,432,0
-10,76,312,0.06573815497691
-9,76,336,0.0707947506360018
-8,76,336,0.0707947506360018
-7,76,384,0.0809079419541854
-6,76,408,0.0859645376132772
-5,76,432,0.0910211332723689
-4,76,480,0.101134324590553
-3,76,504,0.106190920249644
-2,76,576,0.12136070722692
-1,76,648,0.136530494204195
0,76,720,0.15170028118147
1,76,840,0.17698325947693
2,76,984,0.20732283343148
3,76,1200,0.252832194363306
4,76,1512,0.3185679379315
5,76,2088,0.439926233749702
6,76,3312,0.697812612363383
7,76,3000,0.731203459891085
8,76,2712,0.747070512350851
9,76,2400,0.732925905433613
10,76,2136,0.710841191925288
11,76,1872,0.667807116288314
12,76,1656,0.622532715712574
13,76,1440,0.559600341620373
14,76,1272,0.499157757147176
15,76,1104,0.424099929566806
16,76,960,0.34510680664862
17,76,840,0.262619749834354
18,76,744,0.175480195533851
19,76,648,0.07696570194815
20,76,576,0
21,76,504,0
22,76,432,0
-10,77,312,0.0694063181277019
-9,77,336,0.0747450698325733
-8,77,336,0.0747450698325733
-7,77,384,0.0854225732423162
-6,77,408,0.0907613249471877
-5,77,432,0.0961000766520591
-4,77,480,0.106777580061802
-3,77,504,0.112116331766673
-2,77,576,0.128132586881288
-1,77,648,0.144148841995902
0,77,720,0.160165097110516
1,77,840,0.186858855634874
2,77,984,0.218891365864102
3,77,1200,0.266940131207945
4,77,1512,0.336343903371274
5,77,2088,0.46447394428819
6,77,3312,0.736750281236632
7,77,3000,0.772004324902375
8,77,2712,0.788756752638722
9,77,2400,0.77382288222763
10,77,2136,0.750505850405605
11,77,1872,0.705070490300951
12,77,1656,0.657269796008505
13,77,1440,0.590825820233569
14,77,1272,0.527010563357546
15,77,1104,0.447764538566507
16,77,960,0.364363630508075
17,77,840,0.277273828418564
18,77,744,0.185271921315889
19,77,648,0.0812603577969519
20,77,576,0
21,77,504,0
22,77,432,0
-10,78,312,0.0733968185188896
-9,78,336,0.0790425205323416
-8,78,336,0.0790425205323417
-7,78,384,0.0903339245592458
-6,78,408,0.0959796265726979
-5,78,432,0.10162532858615
-4,78,480,0.112916732613054
-3,78,504,0.118562434626506
-2,78,576,0.135499540666862
-1,78,648,0.152436646707219
0,78,720,0.169373752747575
1,78,840,0.197602262814835
2,78,984,0.231476474895548
3,78,1200,0.282287793016616
4,78,1512,0.355681919191494
5,78,2088,0.491178767514342
6,78,3312,0.779109570200396
7,78,3000,0.816390537045963
8,78,2712,0.834106141784615
9,78,2400,0.818313651908828
10,78,2136,0.793656012673568
11,78,1872,0.745608356928369
12,78,1656,0.695059372647076
13,78,1440,0.624795215677193
14,78,1272,0.557310915198267
15,78,1104,0.473508658331254
16,78,960,0.385312634133391
17,78,840,0.293215623785588
18,78,744,0.195924088070029
19,78,648,0.0859324034885295
20,78,576,0
21,78,504,0
22,78,432,0
-10,79,312,0.0777540964663787
-9,79,336,0.0837349614116543
-8,79,336,0.0837349614116543
-7,79,384,0.0956966913022055
-6,79,408,0.101677556247481
-5,79,432,0.107658421192757
-4,79,480,0.119620151083308
-3,79,504,0.125601016028584
-2,79,576,0.14354361086441
-1,79,648,0.161486205700237
0,79,720,0.179428800536064
1,79,840,0.209333125262442
2,79,984,0.245218314934095
3,79,1200,0.299046099441575
4,79,1512,0.376797343730158
5,79,2088,0.520338102416773
6,79,3312,0.825362214625829
7,79,3000,0.864856404577996
8,79,2712,0.883623714491503
9,79,2400,0.866893687141199
10,79,2136,0.840772221682339
11,79,1872,0.789872167222426
12,79,1656,0.736322290274102
13,79,1440,0.661886829045506
14,79,1272,0.59039625335994
15,79,1104,0.50161898894948
16,79,960,0.408187116671981
17,79,840,0.31062267217218
18,79,744,0.207555323940419
19,79,648,0.0910338693865227
20,79,576,0
21,79,504,0
22,79,432,0
-10,80,312,0.0825311550560307
-9,80,336,0.088879472567265
-8,80,336,0.088879472567265
-7,80,384,0.101576107589734
-6,80,408,0.107924425100968
-5,80,432,0.114272742612203
-4,80,480,0.126969377634671
-3,80,504,0.133317695145906
-2,80,576,0.152362647679609
-1,80,648,0.171407600213312
0,80,720,0.190452552747015
1,80,840,0.222194140303187
2,80,984,0.260284045370593
3,80,1200,0.317418902971703
4,80,1512,0.39994703061775
5,80,2088,0.552306650887374
6,80,3312,0.876070843960325
7,80,3000,0.917991479179387
8,80,2712,0.937911815661282
9,80,2400,0.920153928371877
10,80,2136,0.892427611508201
11,80,1872,0.838400357924102
12,80,1656,0.781560481975386
13,80,1440,0.702551852571779
14,80,1272,0.626669036680507
15,80,1104,0.532437471946448
16,80,960,0.433265329402886
17,80,840,0.329706717536688
18,80,744,0.220307114368417
19,80,648,0.0966268110766133
20,80,576,0
21,80,504,0
22,80,432,0
-10,81,312,0.087791726860036
-9,81,336,0.0945446888970836
-8,81,336,0.0945446888970837
-7,81,384,0.108050612971179
-6,81,408,0.114803575008227
-5,81,432,0.121556537045274
-4,81,480,0.13506246111937
-3,81,504,0.141815423156417
-2,81,576,0.16207430926756
-1,81,648,0.182333195378703
0,81,720,0.202592081489846
1,81,840,0.236356891675085
2,81,984,0.276874663897371
3,81,1200,0.3376513222308
4,81,1512,0.42543982871242
5,81,2088,0.587510917601564
6,81,3312,0.931911981490995
7,81,3000,0.97650465627487
8,81,2712,0.997694723688702
9,81,2400,0.978804940921641
10,81,2136,0.949311336533356
11,81,1872,0.89184036225179
12,81,1656,0.831377487829881
13,81,1440,0.747332813943053
14,81,1272,0.666613194284584
15,81,1104,0.566375268532667
16,81,960,0.460881850387749
17,81,840,0.350722367453221
18,81,744,0.234349585884555
19,81,648,0.10278584614059
20,81,576,0
21,81,504,0
22,81,432,0
-10,82,312,0.0936131336408784
-9,82,336,0.100813879773299
-8,82,336,0.100813879773299
-7,82,384,0.11521537203814
-6,82,408,0.122416118170561
-5,82,432,0.129616864302981
-4,82,480,0.144018356567822
-3,82,504,0.151219102700243
-2,82,576,0.172821341097504
-1,82,648,0.194423579494766
0,82,720,0.216025817892027
1,82,840,0.25202954855413
2,82,984,0.295234025348653
3,82,1200,0.360040740540437
4,82,1512,0.453650440261904
5,82,2088,0.626468347439996
6,82,3312,0.993706400193441
7,82,3000,1.04125110698663
8,82,2688,1.05442697205658
9,82,2400,1.04370178039841
10,82,2136,1.01225893002413
11,82,1872,0.950977660468042
12,82,1656,0.886505535975105
13,82,1440,0.796887919717085
14,82,1272,0.710815839661341
15,82,1104,0.603931208558701
16,82,960,0.491442597111547
17,82,840,0.373978517447176
18,82,744,0.249889139748564
19,82,648,0.109601502274697
20,82,576,0
21,82,504,0
22,82,432,0
-10,83,312,0.100090112183197
-9,83,336,0.107789069158204
-8,83,336,0.107789069158204
-7,83,384,0.123186983108218
-6,83,408,0.130885940083225
-5,83,432,0.138584897058232
-4,83,480,0.153982811008245
-3,83,504,0.161681767983252
-2,83,576,0.184778638908273
-1,83,648,0.207875509833294
0,83,720,0.230972380758314
1,83,840,0.269467165633349
2,83,984,0.31566090748339
3,83,1200,0.384951520258452
4,83,1512,0.485037960933542
5,83,2088,0.669812928333707
6,83,3288,1.05475303496064
7,83,3000,1.11326179497735
8,83,2688,1.1273382437253
9,83,2400,1.11587129935797
10,83,2136,1.08226751395535
11,83,1872,1.01677339928099
12,83,1656,0.947841772791884
13,83,1440,0.852023622966173
14,83,1272,0.759996320668297
15,83,1104,0.645716472300404
16,83,960,0.525444911022798
17,83,840,0.399853634950302
18,83,744,0.267178664553054
19,83,648,0.117184696542741
20,83,576,0
21,83,504,0
22,83,432,0
-10,84,312,0.107340009772761
-9,84,336,0.115596630720739
-8,84,336,0.115596630720739
-7,84,384,0.132109872616696
-6,84,408,0.140366493564675
-5,84,432,0.148623114512653
-4,84,480,0.16513635640861
-3,84,504,0.173392977356589
-2,84,576,0.198162840200524
-1,84,648,0.22293270304446
0,84,720,0.247702565888395
1,84,840,0.288985670628288
2,84,984,0.338525396316159
3,84,1200,0.412834984847965
4,84,1512,0.520171057171687
5,84,2088,0.718329959923171
6,84,3288,1.13111609767209
7,84,2976,1.18428856231243
8,84,2664,1.19812772339721
9,84,2376,1.18465581432508
10,84,2112,1.14755572267025
11,84,1872,1.09038303569436
12,84,1656,1.01649608393974
13,84,1440,0.913738850131546
14,84,1272,0.815045669431195
15,84,1104,0.692488108318793
16,84,960,0.563504832335505
17,84,840,0.428816514908898
18,84,744,0.286531404937445
19,84,648,0.125672818200991
20,84,576,0
21,84,504,0
22,84,432,0
-10,85,312,0.115509957676648
-9,85,336,0.124395013102599
-8,85,336,0.124395013102599
-7,85,384,0.142165123954502
-6,85,408,0.151050179380453
-5,85,432,0.159935234806404
-4,85,480,0.177705345658307
-3,85,504,0.186590401084258
-2,85,576,0.213245567362112
-1,85,648,0.239900733639965
0,85,720,0.266555899917819
1,85,840,0.310981177047575
2,85,984,0.364291509603282
3,85,1200,0.444257008436843
4,85,1512,0.559762728974208
5,85,2088,0.773004059197037
6,85,3264,1.20825809326083
7,85,2952,1.26405192628294
8,85,2640,1.27758787283541
9,85,2376,1.27467595462262
10,85,2112,1.23476115742222
11,85,1872,1.1732684349266
12,85,1656,1.09381555791089
13,85,1440,0.983286065742359
14,85,1272,0.877081071446144
15,85,1104,0.745195312100526
16,85,960,0.606394758780605
17,85,840,0.461454937381087
18,85,744,0.308340110341165
19,85,648,0.135238127350957
20,85,576,0
21,85,504,0
22,85,432,0
-10,86,312,0.124786960714755
-9,86,336,0.134385605582155
-8,86,336,0.134385605582155
-7,86,384,0.153582895316956
-6,86,408,0.163181540184356
-5,86,432,0.172780185051757
-4,86,480,0.191977474786557
-3,86,504,0.201576119653958
-2,86,576,0.230372054256159
-1,86,648,0.25916798885836
0,86,720,0.287963923460561
1,86,840,0.335957147797563
2,86,984,0.393549017001965
3,86,1200,0.479936820808568
4,86,1512,0.604719204084773
5,86,2088,0.835086680902382
6,86,3240,1.29559218228484
7,86,2904,1.34323911459956
8,86,2616,1.36747293443642
9,86,2328,1.34907088699815
10,86,2088,1.31858466236255
11,86,1848,1.25109147618862
12,86,1632,1.16443546114662
13,86,1440,1.06223185918508
14,86,1272,0.947522476915699
15,86,1104,0.805044517427843
16,86,960,0.655096413015882
17,86,840,0.498515974733534
18,86,744,0.33310396791622
19,86,648,0.146099567728373
20,86,576,0
21,86,504,0
22,86,432,0
-10,87,312,0.135412386422486
-9,87,336,0.145828341747239
-8,87,336,0.145828341747239
-7,87,384,0.166660252396746
-6,87,408,0.177076207721499
-5,87,432,0.187492163046252
-4,87,480,0.208324073695759
-3,87,504,0.218740029020512
-2,87,576,0.249987894994772
-1,87,648,0.281235760969032
0,87,720,0.312483626943292
1,87,840,0.364563403567058
2,87,984,0.427059135515578
3,87,1200,0.520802733438358
4,87,1512,0.65621015266015
5,87,2088,0.906193080454229
6,87,3192,1.38493753508473
7,87,2880,1.44535662056955
8,87,2568,1.45646845890676
9,87,2304,1.44858234419505
10,87,2064,1.41413976373344
11,87,1824,1.3397470302368
12,87,1632,1.26335139044412
13,87,1440,1.15255045743866
14,87,1272,1.02819697180256
15,87,1104,0.873592871056704
16,87,960,0.71087690665105
17,87,840,0.540963874925255
18,87,744,0.361467279625804
19,87,648,0.158539730498087
20,87,576,0
21,87,504,0
22,87,432,0
-10,88,312,0.147703267414137
-9,88,336,0.159064640441755
-8,88,336,0.159064640441755
-7,88,384,0.18178738649699
-6,88,408,0.193148759524607
-5,88,432,0.204510132552224
-4,88,480,0.227232878607459
-3,88,504,0.238594251635077
-2,88,576,0.272678370717929
-1,88,648,0.306762489800781
0,88,720,0.340846608883633
1,88,840,0.397653474021721
2,88,984,0.465821712187426
3,88,1200,0.568074069435982
4,88,1512,0.715771918795009
5,88,2088,0.988444871457826
6,88,3144,1.48771962107973
7,88,2832,1.55000586800953
8,88,2544,1.57347325967263
9,88,2256,1.54682680877158
10,88,2016,1.50630234009
11,88,1800,1.44176456541071
12,88,1608,1.35744459264776
13,88,1416,1.23600195168165
14,88,1248,1.10029070602667
15,88,1104,0.952885661745829
16,88,960,0.775400571658333
17,88,840,0.590065163095041
18,88,744,0.394276326372794
19,88,648,0.172929794889396
20,88,576,0
21,88,504,0
22,88,432,0
-10,89,312,0.162084472497688
-9,89,336,0.17455205149083
-8,89,336,0.17455205149083
-7,89,384,0.199487209477112
-6,89,408,0.211954788470254
-5,89,432,0.224422367463395
-4,89,480,0.249357525449678
-3,89,504,0.261825104442819
-2,89,576,0.299227841422243
-1,89,648,0.336630578401667
